Ano,Semana,Producto,Clasificacion_Producto,Responsable,Clientes_Funcionarios,Valor_Funcionario,Clientes_Externos,Valor_Externos
2020,6,ACELGA_CHINA,Acelgas,Hugo_Escobar,5,1300.0,8,2800.0
2020,6,ACELGA_COMUN,Acelgas,Hugo_Escobar,4,1200.0,19,1500.0
2020,6,ACELGA_AMARILLA,Acelgas,Hugo_Escobar,3,1300.0,9,2200.0
2020,6,ACELGA_ROJA,Acelgas,Hugo_Escobar,3,1300.0,6,2200.0
2020,6,BROCOLI,Brasicas,Rodrigo_Gil,4,1500.0,5,3200.0
2020,6,CEBOLLA_CABEZONA,Cebollas,Rodrigo_Gil,8,1500.0,47,3200.0
2020,6,CEBOLLA_LARGA,Cebollas,Hugo_Escobar,8,1800.0,42,3500.0
2020,6,CILANTRO,Cilantro,Hugo_Escobar,0,1200.0,11,1600.0
2020,6,COGOLLOS_DE_TUDELA,Lechugas,Hugo_Escobar,4,1500.0,21,2900.0
2020,6,COLIFLOR,Brasicas,Rodrigo_Gil,4,1500.0,7,2800.0
2020,6,ESPINACA,Espinaca,Rodrigo_Gil,12,1500.0,65,2800.0
2020,6,FRESA,Fresa,Hugo_Escobar,9,2700.0,34,5300.0
2020,6,CRESPA_VERDE,Lechugas,Hugo_Escobar,14,1000.0,41,2000.0
2020,6,CRESPA_MORADA,Lechugas,Hugo_Escobar,2,1000.0,24,2000.0
2020,6,LECHUGA_LISA,Lechugas,Hugo_Escobar,4,1000.0,29,2000.0
2020,6,LECHUGA_ROMANA,Lechugas,Hugo_Escobar,1,1200.0,25,2200.0
2020,6,RUGULA,Lechugas,Hugo_Escobar,2,1500.0,9,3500.0
2020,6,MEZCLA_ASIATICAS,Asiaticas,Hugo_Escobar,4,1800.0,6,2500.0
2020,6,PEPINO_EUROPEO,Cucurbitaceas,Hugo_Escobar,0,1250.0,74,2000.0
2020,6,PEPINO_KILO,Cucurbitaceas,Hugo_Escobar,0,0.0,251,3100.0
2020,6,PEREJIL_CRESPO,Perejil,Hugo_Escobar,1,1000.0,10,1500.0
2020,6,PEREJIL_LISO,Perejil,Hugo_Escobar,1,1000.0,18,1500.0
2020,6,PIMENTON_AMARILLO,Pimenton,Carlos_Bojaca,0,1200.0,0,1500.0
2020,6,PIMENTON_ROJO,Pimenton,Carlos_Bojaca,9,1200.0,33,1500.0
2020,6,REPOLLO _MORADO,Brasicas,Rodrigo_Gil,0,1800.0,2,2800.0
2020,6,REPOLLO_VERDE,Brasicas,Rodrigo_Gil,2,1800.0,6,2400.0
2020,6,REPOLLO_RIZADO,Brasicas,Rodrigo_Gil,0,1800.0,0,3800.0
2020,6,ROMANESCO,Brasicas,Rodrigo_Gil,0,4000.0,0,6000.0
2020,6,TOMATE_DE_ARBOL,TomateArbol,Hugo_Escobar,8,1800.0,14,3800.0
2020,6,KALE,Brasicas,Rodrigo_Gil,0,2400.0,0,3000.0
2020,6,TOMATE,Tomates,Carlos_Bojaca,29,3000.0,258,4800.0
2020,6,CHERRY_AMARILLO,Tomates,Carlos_Bojaca,6,4000.0,87,5000.0
2020,6,CHERRY_UVALINA,Tomates,Carlos_Bojaca,0,4000.0,51,5000.0
2020,6,COMPOSTAJE_KILOS,Compost,Hugo_Escobar,0,1800.0,2,6000.0
2020,6,COMPOSTAJE_BULTO,Compost,Hugo_Escobar,0,30000.0,3,45000.0
2020,6,ZUQUINI_AMARILLO,Cucurbitaceas,Hugo_Escobar,0,1600.0,11,2500.0
2020,6,ZUQUINI_VERDE,Cucurbitaceas,Hugo_Escobar,2.5,1600.0,3,2700.0
2020,6,APIO,Apio,Hugo_Escobar,0,1500.0,4,2000.0
2020,6,POLEN,Apicultura,Luz_Stella,0,12000.0,0,12000.0
2020,6,MIEL,Apicultura,Luz_Stella,0,7800.0,0,7800.0
2020,6,MAZORCA,Maiz,Hugo_Escobar,0,2000.0,0,2700.0
2020,6,BERENJENA,Berenjena,Hugo_Escobar,0,2000.0,0,2700.0
2020,7,ACELGA_CHINA,Acelgas,Hugo_Escobar,0,1300.0,4,2800.0
2020,7,ACELGA_COMUN,Acelgas,Hugo_Escobar,0,1200.0,15,1500.0
2020,7,ACELGA_AMARILLA,Acelgas,Hugo_Escobar,0,1300.0,11,2200.0
2020,7,ACELGA_ROJA,Acelgas,Hugo_Escobar,0,1300.0,8,2200.0
2020,7,BROCOLI,Brasicas,Rodrigo_Gil,0,1500.0,28,3200.0
2020,7,CEBOLLA_CABEZONA,Cebollas,Rodrigo_Gil,3,1500.0,13,3200.0
2020,7,CEBOLLA_LARGA,Cebollas,Hugo_Escobar,2,1800.0,30,3500.0
2020,7,CILANTRO,Cilantro,Hugo_Escobar,1,1200.0,22,1600.0
2020,7,COGOLLOS_DE_TUDELA,Lechugas,Hugo_Escobar,2,1500.0,28,2900.0
2020,7,COLIFLOR,Brasicas,Rodrigo_Gil,0,1500.0,10,2800.0
2020,7,ESPINACA,Espinaca,Rodrigo_Gil,5,1500.0,75,2800.0
2020,7,FRESA,Fresa,Hugo_Escobar,2,2700.0,36,5300.0
2020,7,CRESPA_VERDE,Lechugas,Hugo_Escobar,4,1000.0,55,2000.0
2020,7,CRESPA_MORADA,Lechugas,Hugo_Escobar,1,1000.0,25,2000.0
2020,7,LECHUGA_LISA,Lechugas,Hugo_Escobar,1,1000.0,25,2000.0
2020,7,LECHUGA_ROMANA,Lechugas,Hugo_Escobar,0,1200.0,20,2200.0
2020,7,RUGULA,Lechugas,Hugo_Escobar,0,1500.0,11,3500.0
2020,7,MEZCLA_ASIATICAS,Asiaticas,Hugo_Escobar,0,1800.0,20,2500.0
2020,7,PEPINO_EUROPEO,Cucurbitaceas,Hugo_Escobar,3,1250.0,90,2000.0
2020,7,PEPINO_KILO,Cucurbitaceas,Hugo_Escobar,0,0.0,245,3100.0
2020,7,PEREJIL_CRESPO,Perejil,Hugo_Escobar,0,1000.0,13,1500.0
2020,7,PEREJIL_LISO,Perejil,Hugo_Escobar,0,1000.0,18,1500.0
